Solar,Wind,CCGT,Coal,Battery
0,0.438275454,1,1,1
0,0.403508337,1,1,1
0,0.362559342,1,1,1
0,0.337927464,1,1,1
0,0.344579645,1,1,1
0,0.356829674,1,1,1
0.011845015,0.371162018,1,1,1
0.071878907,0.402538582,1,1,1
0.160916535,0.446849294,1,1,1
0.256618294,0.503029506,1,1,1
0.331865795,0.553886956,1,1,1
0.366977742,0.568725858,1,1,1
0.356682749,0.5605564,1,1,1
0.301829554,0.558370963,1,1,1
0.209811496,0.54179884,1,1,1
0.109543554,0.537100393,1,1,1
0.039114778,0.52112403,1,1,1
0.006718244,0.525560589,1,1,1
7.65E-06,0.535882046,1,1,1
0,0.523076846,1,1,1
0,0.551459117,1,1,1
0,0.565072371,1,1,1
0,0.577546497,1,1,1
0,0.586978643,1,1,1
0,0.593970065,1,1,1
0,0.5538336,1,1,1
0,0.522688076,1,1,1
0,0.522903531,1,1,1
0,0.52954966,1,1,1
0,0.548050326,1,1,1
0.012064202,0.553129491,1,1,1
0.072474243,0.550380621,1,1,1
0.16197315,0.575539328,1,1,1
0.258162487,0.615448772,1,1,1
0.333824559,0.63913012,1,1,1
0.36928111,0.632481716,1,1,1
0.359268735,0.622580912,1,1,1
0.304602772,0.607077936,1,1,1
0.212525425,0.602292419,1,1,1
0.111539488,0.60392233,1,1,1
0.040120989,0.597484465,1,1,1
0.007063265,0.586094539,1,1,1
1.04E-05,0.578367144,1,1,1
0,0.575501289,1,1,1
0,0.570345987,1,1,1
0,0.575454812,1,1,1
0,0.579385478,1,1,1
0,0.567465047,1,1,1
0,0.556141404,1,1,1
0,0.513622901,1,1,1
0,0.474369626,1,1,1
0,0.456751392,1,1,1
0,0.442690993,1,1,1
0,0.446282355,1,1,1
0.012309566,0.455039443,1,1,1
0.073127795,0.464478949,1,1,1
0.163113525,0.479610572,1,1,1
0.259805808,0.529137173,1,1,1
0.335883268,0.574860598,1,1,1
0.371679255,0.604288733,1,1,1
0.361942237,0.612428261,1,1,1
0.307455432,0.612170695,1,1,1
0.215314147,0.606887839,1,1,1
0.113596693,0.599877259,1,1,1
0.041164066,0.568073209,1,1,1
0.00742558,0.591491636,1,1,1
1.39E-05,0.585219652,1,1,1
0,0.56136201,1,1,1
0,0.555413678,1,1,1
0,0.550135793,1,1,1
0,0.552325376,1,1,1
0,0.552998638,1,1,1
0,0.539058854,1,1,1
0,0.444752326,1,1,1
0,0.383156682,1,1,1
0,0.377369362,1,1,1
0,0.367200224,1,1,1
0,0.374920731,1,1,1
0.01258165,0.368263734,1,1,1
0.073839823,0.373970659,1,1,1
0.164337646,0.417648044,1,1,1
0.261547726,0.473895792,1,1,1
0.338040789,0.516377436,1,1,1
0.374170711,0.534674868,1,1,1
0.364701567,0.535729224,1,1,1
0.310385753,0.52646641,1,1,1
0.218176093,0.523352554,1,1,1
0.115713888,0.512944028,1,1,1
0.042244386,0.502583215,1,1,1
0.007805421,0.491354871,1,1,1
1.83E-05,0.489083766,1,1,1
0,0.481022555,1,1,1
0,0.482019429,1,1,1
0,0.483696627,1,1,1
0,0.495367694,1,1,1
0,0.512894801,1,1,1
0,0.491276909,1,1,1
0,0.374999307,1,1,1
0,0.327248939,1,1,1
0,0.318193808,1,1,1
0,0.325772276,1,1,1
0,0.338538972,1,1,1
0.012881012,0.344498996,1,1,1
0.074610554,0.358947493,1,1,1
