Commercial,Industrial,Residential,Transportation
7850.757642,7656.528883,23279.21458,65229.3681
7730.449674,7685.355828,22231.1186,67739.73593
7669.219398,7623.375804,22383.20216,76706.77805
7702.808475,7538.899473,20723.3351,102242.656
7906.407551,7436.687586,22822.74438,134558.3278
3146.049517,7374.835404,27727.77484,159626.0913
3042.537501,7405.715283,32967.93358,129370.6513
2886.348564,7578.185854,34834.32336,76351.37087
2668.79432,7663.384991,35612.82885,55563.72544
2503.567997,7432.512798,32978.38029,42268.34694
2334.281999,7183.279473,23485.16021,35912.61153
2235.421401,6916.220509,16404.30048,26911.62281
2146.262648,6567.226751,11007.48754,18444.89529
2099.5502,6416.705306,7875.067592,14033.22114
2083.569101,6418.134925,4593.892939,10918.16419
2124.71605,6361.942564,4489.918569,11042.14825
2245.45677,6421.041204,6542.669835,10261.31692
2449.772902,6909.341189,11099.20068,16237.46718
10089.47908,7422.696444,22525.60796,21467.91516
11575.195,7989.81513,32069.70897,39644.24311
10071.70789,7915.166573,30199.14286,45001.75043
8902.220219,7939.028071,20842.5407,43917.41712
8063.099534,7621.331269,22646.22683,47799.57437
7788.803423,7597.141794,25535.37353,57643.71734
7964.417666,7652.570098,23271.87542,65334.71497
7863.732392,7678.008841,22183.17514,67800.04188
7818.373252,7618.737872,22307.80426,76843.70091
7887.430431,7542.824162,20653.04553,102537.4893
8111.060898,7431.5858,22726.64642,134916.8843
3133.1746,7326.060497,28204.51134,159288.2018
3023.408342,7324.542435,33279.23773,128658.4565
2867.441988,7480.406619,35158.64949,75895.79019
2651.074581,7546.500572,35986.28892,55171.57907
2487.667739,7321.660645,33383.6004,41963.32939
2315.719024,7066.055589,23199.55708,35578.15312
2212.778637,6795.462537,16187.46438,26605.74734
2101.088539,6371.365891,10774.25299,17974.1445
2054.545459,6221.820029,7699.508745,13646.81878
2036.3814,6222.173681,4499.067946,10599.47033
2073.975255,6170.117421,4392.261435,10691.34229
2188.690054,6235.563951,6388.595537,9946.441136
2391.114028,6757.646687,10878.00938,15804.25963
11529.73727,7492.673526,21790.24082,20778.59858
12915.32836,7981.584841,30879.28082,38192.91848
11029.79872,7860.396829,29205.97817,43589.55379
9694.998759,7877.721314,20273.03399,42734.3533
8683.904945,7588.419756,22183.79351,46866.3055
8323.334925,7608.979856,25208.05902,56925.80804
8607.667506,7731.550128,23150.03017,64888.622
8493.285032,7795.071778,22230.29628,67697.56966
8485.907654,7788.529607,22501.40749,77159.02486
8610.698762,7730.259221,20874.73432,102915.3539
8952.165,7659.520281,22984.337,135446.4664
3140.205528,7584.222921,30149.01991,159491.447
3049.497155,7635.533366,35338.4358,129449.386
2890.563202,7819.384415,37325.89847,76437.62288
2667.286358,7899.030146,38247.55542,55492.20529
2507.652564,7576.60689,35925.84797,42317.07891
2333.121247,7264.032577,23529.20597,35925.19114
2216.585605,6957.205755,16313.65684,26717.70543
2069.750234,6461.425879,10604.23297,17809.44622
2010.069105,6292.965745,7517.14508,13456.0631
1981.811746,6286.024681,4359.30614,10411.79021
2008.418519,6224.309978,4247.807803,10475.92771
2113.856968,6286.277393,6162.95148,9701.953905
2301.080251,6922.810045,10435.41866,15366.53579
15683.83976,8282.216268,20703.87474,19933.55131
16429.41168,8679.599458,29959.50969,37272.90117
13277.96886,8338.348416,28753.27728,43082.2449
11214.29809,8172.756511,19870.91635,42138.08174
9658.681058,7707.505198,21611.24725,45886.53065
9089.131476,7693.488334,24680.16489,55994.66963
9331.428664,7781.796412,22525.04861,63565.58832
9125.053335,7806.076901,21573.15055,66160.80452
9078.003553,7774.472122,21818.3175,75263.11457
9233.170134,7720.211223,20224.67617,100499.7206
9691.580969,7665.774427,22332.95015,132481.7671
3046.779707,7542.948866,31274.6338,155149.5926
2967.344074,7610.583251,36140.92875,126305.3855
2804.718098,7777.210184,38033.86621,74185.88409
2587.059156,7847.840552,39102.10679,53809.71073
2451.928276,7472.403007,37336.43635,41369.75763
2296.231181,7159.217513,23070.16945,35300.86239
2192.826541,6790.842088,16338.28276,27313.79662
2211.364526,5169.084377,14382.1344,29178.22774
2178.692234,4951.204606,8759.945001,18229.41918
2179.390729,4711.719941,5266.590352,15305.98549
2205.106061,4581.273224,4752.315924,13014.17266
2290.90098,4588.093192,4131.1084,9536.445043
2422.653424,4983.792224,5009.943572,10974.97022
12505.08525,5681.575575,9272.926572,6138.056398
13452.79273,5944.023837,19926.95025,11490.00682
11446.29301,5333.500902,32096.17523,21488.39594
9524.224286,4872.075881,36774.05539,37245.19006
8190.621042,4519.823891,36611.07309,50397.97367
7726.669491,4535.869699,38021.80713,66189.41462
8097.183181,4608.395853,36981.41461,81496.34361
7869.663149,4572.500957,36813.48436,85518.26867
7978.920683,4651.443775,31844.78562,90236.8155
8019.861741,4646.996132,31557.24284,96125.55554
8297.116115,4680.085078,32523.83483,105854.5702
2883.577651,4708.704301,42574.45574,101362.2251
2956.927219,4709.736047,43132.99602,120255.1398
2855.63355,4696.14232,49186.80947,118440.2203
2790.541703,4843.451433,46086.11741,102107.3972
2677.966964,4888.414172,41765.94612,85435.26193
2539.712354,4828.187119,24554.8873,75038.86272
2353.557306,4969.419088,18761.26646,53027.39719
2145.679055,4902.172679,14265.92366,31087.98615
2091.871626,4818.511727,8489.870464,17656.11955
2086.783066,4583.667985,5084.82201,14781.16415
2108.980803,4453.700325,4579.594978,12579.58881
2187.037912,4442.101369,3972.9418,9212.348641
2332.881316,4641.701544,4846.520724,10670.33873
9696.053178,4945.119831,9127.82984,6040.953347
11319.40897,5398.401836,19603.85997,11279.97495
10316.33928,4997.765653,31256.89444,20859.37453
8971.420039,4658.549143,35725.14135,36059.816
7665.072459,4322.247351,35683.43809,48932.446
7313.894515,4374.111966,37304.66209,64687.76809
7606.682893,4464.912702,36667.34859,80506.2438
7408.151933,4452.160196,36671.77954,84914.289
7500.002943,4534.018299,31761.4017,89768.11585
7593.109521,4541.734486,31530.26868,95839.39977
7911.48782,4590.876581,32605.19212,105985.1115
2908.721367,4658.629682,42203.47996,102327.6944
2979.192128,4737.508182,42731.57184,121356.0966
2897.849236,4633.866586,49162.7652,120412.1595
2827.571917,4737.983596,45897.83457,103669.1447
2714.45575,4793.094638,41489.93366,86828.71825
2560.988521,4869.114906,24857.92654,75835.52457
2372.942393,5105.388349,18723.3363,52636.26784
2060.494661,6275.246511,10882.08458,20454.16778
1973.402849,6216.553647,7462.11163,13275.18389
1939.057788,6197.314078,4303.942953,10237.99836
1961.475566,6125.135804,4186.158456,10287.47708
2047.304093,6132.917229,6027.491622,9439.621776
2207.477344,6416.759317,10104.42068,14866.09136
7552.076732,6674.184346,20796.2005,19996.15234
8802.478273,7306.759309,30183.40776,37440.19918
8838.832548,7592.560202,28764.35145,42952.01924
8434.55711,7828.522179,20063.29127,42368.12846
7561.170567,7557.485706,22105.4973,46682.58625
7329.818141,7624.331581,25421.15191,57360.45782
7604.25719,7735.530182,23311.26728,65351.98604
7454.281125,7778.736887,22328.1286,68104.58834
7371.834226,7736.702932,22526.94015,77395.02867
7393.976795,7649.342085,20852.24954,103242.8159
7532.914113,7541.761215,22969.01892,135994.7216
3131.707335,7419.664611,29574.4159,159540.6837
3042.272708,7423.039347,34569.91527,129670.7248
2887.08913,7431.501545,36661.41775,76555.85992
2659.182655,7400.415478,37442.30658,55441.17402
2440.374211,7270.184554,34202.4573,41300.90009
2246.442915,6992.303579,22668.57343,34716.5825
2130.751748,6697.149384,15731.19123,25813.251
2054.877526,6356.44189,10641.74256,17717.60018
1998.819189,6195.821422,7566.138955,13408.32871
1969.457726,6175.858726,4391.108566,10376.25122
1993.924181,6100.515755,4262.359948,10419.52643
2098.109814,6150.654313,6174.834164,9666.038719
2285.475443,6665.951183,10480.15366,15314.68876
11362.36571,7409.965643,21015.09961,20070.11245
12635.00733,7847.369985,30218.4939,37336.30828
11045.34313,7775.311031,28748.83805,42831.04223
9809.241213,7814.32268,20085.24188,42206.66902
8850.8277,7544.791649,22048.65412,46399.7177
8549.578771,7570.954563,25155.40925,56595.97653
8767.872787,7674.675095,23129.61177,64540.51131
8648.557735,7715.057154,22191.87856,67263.20367
8584.633308,7661.963317,22384.04636,76385.77302
8642.308321,7565.411127,20702.63794,101597.0156
8875.531253,7446.482966,22676.05147,133179.605
3087.681427,7359.180397,28721.05937,157235.7737
2994.536933,7380.381958,33800.18729,127650.3483
2831.700912,7535.985191,35592.2757,75146.0512
2609.867518,7608.698735,36352.50015,54483.58191
2452.51581,7343.169286,33806.90614,41521.01156
2277.371599,7068.064422,23070.81153,35162.9046
2166.113816,6802.072242,16048.67179,26218.53848
2033.079653,6320.407637,10478.44543,17539.42208
1979.304489,6158.610011,7465.806458,13281.62997
1957.595053,6151.880641,4348.651072,10298.40409
1990.236599,6095.365498,4231.581755,10376.96603
2103.378698,6171.021253,6161.65554,9643.469645
2300.981272,6774.918568,10484.18761,15302.35388
13269.55667,7823.7398,20987.49133,19952.53101
14174.32107,8201.899857,30279.4319,37313.94458
